,Title,Image,Total Time,Yields,Ingredients,Instructions
0,Easy Sweet Potatoes with Kahlua,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F188808.jpg,40,6 servings,"['4 large sweet potatoes, peeled and cubed', '½ cup butter', '⅔ cup brown sugar', '½ cup coffee flavored liqueur (such as Kahlua®)', '¼ cup raisins', '¼ cup toasted pecans']","Place the sweet potatoes into a large pot and cover with salted water. Bring to a boil over high heat, then reduce heat to medium-low, cover, and simmer until tender, about 20 minutes. Drain and allow to steam dry for a minute or two.
Return the pot to the stove over medium heat. Add the butter and brown sugar; cook and stir about 5 minutes until the sugar begins to caramelize. The sugar will be foamy at first, then the foam will subside and the sugar will begin to caramelize; cook until the color darkens slightly. Carefully stir in the coffee liqueur, then return the potatoes to the pot. Stir in the raisins and toasted pecans until the potatoes are slightly mashed and everything is well mixed."
1,Tamra's Microwave Tilapia,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F347802.jpg,14,4 servings,"['1 pound tilapia fillets', '1 tablespoon butter', '1 garlic clove, minced', '1 teaspoon chopped fresh tarragon', '¼ cup apple cider vinegar']","In a microwavable baking dish, arrange tilapia fillets in a single layer. Dot with pieces of butter, and minced garlic. Sprinkle over fresh tarragon. Cover with waxed paper and microwave on high for 2 minutes.
Turn fillets over, recover, and continue to microwave on high for a further 2 minutes. Remove immediately, sprinkle with apple cider vinegar, and serve."
2,Skillet Zucchini,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3961815.jpg,30,8 servings,"['¼ cup butter', '6 medium zucchini, sliced', '1 large onion, sliced', '2 large tomatoes, cut into chunks', '4 slices cooked bacon', 'salt and pepper to taste', '¼ cup water', '1 cup bread crumbs', '1 teaspoon soy sauce', '1 cup shredded Cheddar cheese', '½ grated Parmesan cheese']","Melt butter in a large skillet over medium-high heat. Mix in zucchini, onion, tomatoes, and bacon. Season with salt and pepper, and pour in water. Cover, and cook 10 minutes, stirring occasionally, until vegetables are tender.
Stir the bread crumbs and soy sauce into the skillet, and mix in Cheddar cheese. Cover, and continue cooking 2 minutes, until cheese is melted. Sprinkle with Parmesan cheese to serve."
3,Harvest Slaw,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1068329.jpg,20,8 servings,"['¼ cup chopped pecans', '1 (8.5 ounce) package coleslaw mix', '½ cup matchstick-style shredded carrots', '1 ½ cups red grapes', '¼ cup crumbled feta cheese', '½ cup mayonnaise', '½ cup Ranch dressing', '1 tablespoon sugar']","In a medium ungreased skillet, over medium heat, toast the pecans by stirring frequently until golden brown. Set aside to cool.
In a large bowl, combine coleslaw mix, carrots, grapes, pecans, and feta cheese.
In a small bowl, stir together the mayonnaise, and Ranch dressing. Pour in sugar, and mix until dissolved. Toss coleslaw mixture with dressing until evenly coated. Serve immediately, or cover and chill in refrigerator."
4,Smoky Fried Salmon,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F18657.jpg,45,2 servings,"['1 (6 ounce) salmon fillet, frozen', '1 teaspoon sea salt', 'ground black pepper to taste', '1 dash liquid smoke flavoring', '2 tablespoons butter, divided']","Thaw the salmon slightly in cold water, and remove the skin. Use a very sharp knife to slice the fillet into thin slices. Place the slices in a bowl, and sprinkle with salt and pepper. Toss with enough liquid smoke to coat the fish, and refrigerate for 30 minutes.
Heat the butter in a large skillet over medium heat. Fry the salmon slices for a few minutes turning once. Fish should flake easily with a fork when done."
0,Strawberry-Mango Mesclun Salad,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1116471.jpg,15,12 servings,"['½ cup sugar', '¾ cup canola oil', '1 teaspoon salt', '¼ cup balsamic vinegar', '8 cups mixed salad greens', '2 cups sweetened dried cranberries', '½ pound fresh strawberries, quartered', '1 mango - peeled, seeded, and cubed', '½ cup chopped onion', '1 cup slivered almonds']","Place the sugar, oil, salt, and vinegar in a jar with a lid. Seal jar, and shake vigorously to mix.
In a large bowl, mix salad greens, sweetened dried cranberries, strawberries, mango, and onion. To serve, toss with dressing and sprinkle with almonds."
1,Hearts of Palm and Spinach Salad,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1102665.jpg,30,6 servings,"['2 (10 ounce) bags fresh spinach, rinsed and dried', '1 (14.25 ounce) can hearts of palm, drained and chopped', '1 pint cherry tomatoes', '2 large avocados - peeled, pitted and diced', '1 (10 ounce) package fresh mushrooms, sliced', '⅓ cup sliced almonds', '½ cup canola oil', '⅓ cup white vinegar', '½ cup ketchup', '2 cloves garlic, chopped', '½ cup sugar', '1 teaspoon salt', '½ teaspoon dry mustard powder', '½ teaspoon paprika']","In a large serving bowl, toss the spinach with hearts of palm, tomatoes, avocados, mushrooms, and almonds.
Combine oil, vinegar, ketchup, garlic and sugar in a jar. Season with salt, mustard and paprika. Cover with a tight fitting lid. Shake vigorously until well blended.
Before serving, pour dressing over salad, and toss to coat evenly."
2,Sesame Noodles,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4536514.jpg,30,8 servings,"['1 (16 ounce) package linguine pasta', '6 cloves garlic, minced', '6 tablespoons sugar', '6 tablespoons safflower oil', '6 tablespoons rice vinegar', '6 tablespoons soy sauce', '2 tablespoons sesame oil', '2 teaspoons chili sauce', '6 green onions, sliced', '1 teaspoon sesame seeds, toasted']","Bring a pot of lightly salted water to boil. Add pasta, and cook until al dente, about 8 to 10 minutes. Drain, and transfer to a serving bowl.
Meanwhile, place a saucepan over medium-high heat. Stir in garlic, sugar, oil, vinegar, soy sauce, sesame oil, and chili sauce. Bring to a boil, stirring constantly, until sugar dissolves. Pour sauce over linguine, and toss to coat. Garnish with green onions and sesame seeds."
3,Scotch Scones,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4577612.jpg,35,12 scones,"['2 cups all-purpose flour', '¾ cup white sugar', '1 tablespoon baking powder', 'salt', '¾ cup butter', '½ cup raisins', '1 egg', '¼ cup milk']","In a large bowl, stir together the flour, sugar, baking powder, and salt. Cut in butter by rubbing the mixture between your fingers until the mixture is fine and crumbly; stir in the raisins. In a small bowl, mix together the egg and milk; mix with dry ingredients to form a soft dough.
On a lightly floured surface, roll the dough out to 1/4 inch in thickness. Dip cutter into flour, and stamp out scones. You may need to re roll the dough to get 12.
Heat dry non-stick griddle over medium heat. Cook each side of the scone until slightly raised and golden brown in color. Transfer to a wire rack to cool."
4,Cilantro Chicken Salad,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F849525.jpg,35,4 servings,"['1 lime, zested and juiced', '2 tablespoons soy sauce', '1 (10.5 ounce) can chicken broth', '4 boneless, skinless chicken breast halves', '2 tablespoons olive oil', '1 teaspoon anchovy paste', '½ teaspoon white sugar', '½ teaspoon salt', 'freshly ground black pepper to taste', '2 cloves garlic, minced', '3 tablespoons chopped fresh cilantro', '2 shallots, chopped']","Place the lime peel, soy sauce, and chicken broth in a skillet over medium heat. Place the chicken breasts in the skillet, and bring to a boil. Cover, and simmer until the chicken is fully cooked. Remove from heat, and allow to cool. Shred chicken, and set aside.
In a separate bowl, whisk together lime juice, olive oil, anchovy paste, sugar, salt, and pepper. Stir in garlic, cilantro, shallots, and chicken. Mix well."
